name,url,price
it'sMe - Responsive Vcard/CV/Resume Template,https://themeforest.net/item/itsme-responsive-vcardcvresume-template/19665121,15
Nairo – Bootstrap 4 Personal Portfolio,https://themeforest.net/item/nairo-bootstrap-4-personal-portfolio/27231134,14
Brendon - Minimal Personal Blog Portfolio HTML Template,https://themeforest.net/item/brendon-minimal-personal-blog-portfolio-html-template/19758913,10
Brown - Personal Portfolio,https://themeforest.net/item/brown-personal-portfolio/25625262,12
Raquel – Bootstrap 4 Personal Portfolio,https://themeforest.net/item/raquel-bootstrap-4-personal-portfolio/26762384,14
Krozo - Bootstrap 4 Personal Portfolio,https://themeforest.net/item/krozo-bootstrap-4-personal-portfolio/29927903,10
Gentle - vCard HTML5 Template,https://themeforest.net/item/gentle-vcard-html5-template/15797246,10
Fifty - Personal Portfolio Template,https://themeforest.net/item/fifty-personal-portfolio-template/23339955,14
Diya - One Page Personal Template,https://themeforest.net/item/diya-one-page-personal-template/26320400,25
"Arctic - Responsive, Personal Blog Theme",https://themeforest.net/item/arctic-responsive-personal-blog-theme/6621921,15
"Westin - Bootstrap 4 Personal, portfolio and resume template + RTL",https://themeforest.net/item/westin-bootstrap-4-personal-portfolio-and-resume-template-rtl/29920556,12
Marvin - Personal Portfolio Template,https://themeforest.net/item/marvin-personal-portfolio-template/26019831,14
Mazen - Creative Portfolio Template,https://themeforest.net/item/mazen-creative-portfolio-template/22682264,11
Jonas - Retro Responsive Resume / Portfolio,https://themeforest.net/item/jonas-retro-responsive-resume-portfolio/8218132,6
RIVAL One Page Vcard Template,https://themeforest.net/item/rival-one-page-vcard-template/7698090,25
Zenon - Portfolio Template,https://themeforest.net/item/zenon-portfolio-template/22639971,16
shukr - Creative Personal Portfolio template,https://themeforest.net/item/shukr-creative-personal-portfolio-template/22864367,7
Joyson Personal - Resume / CV Vcard Portfolio HTML,https://themeforest.net/item/joyson-personal-resume-cv-vcard-portfolio-html/12058136,15
McCan - Creative Personal Portfolio Template,https://themeforest.net/item/mccan-creative-personal-portfolio-template/25089170,25
beyond - Personal Portfolio Template,https://themeforest.net/item/beyond-personal-portfolio-template/22658690,18
Maria - Portfolio Template,https://themeforest.net/item/maria-portfolio-template/21364515,14
The Book : Personal vCard Template,https://themeforest.net/item/the-book-personal-vcard-template/16692133,25
SHOWKES - Personal Portfolio HTML5 Template,https://themeforest.net/item/showkes-personal-portfolio-html5-template/20656720,5
Selena. - Minimal Portfolio & Personal Template,https://themeforest.net/item/selena-minimal-portfolio-personal-template/19769118,16
It's Me - Personal Resume and Portfolio,https://themeforest.net/item/its-me-personal-resume-and-portfolio/12103343,15
Shin Onepage Personal Portfolio,https://themeforest.net/item/shin-onepage-personal-portfolio/18673643,14
Doe - Creative Resume / CV / vCard Template,https://themeforest.net/item/doe-creative-resume-cv-vcard-template/17091752,14
Parker | Personal Portfolio /CV / Resume Template,https://themeforest.net/item/parker-personal-portfolio-cv-resume-template/20932425,15
Kavya - Clean Minimal HTML Blog Template,https://themeforest.net/item/kavya-clean-minimal-html-blog-template/25631219,15
Shadow - Personal Portfolio Template,https://themeforest.net/item/shadow-personal-portfolio-template/20521440,15
Okla - Responsive Bootstrap 4 One Page Portfolio Template,https://themeforest.net/item/okla-responsive-bootstrap-4-one-page-portfolio-template/22412244,8
Geeknius - Modern & Creative CV/Resume HTML & SASS Template,https://themeforest.net/item/geeknius-modern-creative-cvresume-html-sass-template/27972617,14
Noisee - Personal Portfolio Template,https://themeforest.net/item/noisee-personal-cv-resume-html-template/18649765,17
FlexyBlog - Responsive Personal Blog Template,https://themeforest.net/item/flexyblog-responsive-personal-blog-template/11393008,8
